date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:34	76632/76632	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:32%20GMT	https://mtrp.store/?currency=OMR	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index9f49.html	(from https://mtrp.store/)
22:55:34	77189/77189	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:32%20GMT	https://mtrp.store/?currency=IQD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index5bbc.html	(from https://mtrp.store/)
22:55:34	76517/76517	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:33%20GMT	https://mtrp.store/?currency=SAR	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/indexb912.html	(from https://mtrp.store/)
22:55:34	208126/208126	---M--	200	added ('OK')	image/jpeg	etag:%220e946b4156347ce766cb124fcf77f5bd%22	https://cdn.salla.sa/form-builder/onREQgOAFQuS7cyU9DMN9eSJA5yBR4FRlSJzOpia.jpg	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/cdn.salla.sa/form-builder/onREQgOAFQuS7cyU9DMN9eSJA5yBR4FRlSJzOpia.jpg	(from https://mtrp.store/)
22:55:35	76926/76926	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:35%20GMT	https://mtrp.store/?currency=EGP	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index0d8c.html	(from https://mtrp.store/)
22:55:35	77039/77039	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:35%20GMT	https://mtrp.store/?currency=SDG	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/indexb860.html	(from https://mtrp.store/)
22:55:38	76760/76760	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:36%20GMT	https://mtrp.store/?currency=LYD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/indexedbc.html	(from https://mtrp.store/)
22:55:38	15865/15865	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2010%20Oct%202022%2019:55:35%20GMT	https://mtrp.store/%d9%83%d9%88%d8%af-%d8%a7%d9%84%d8%aa%d9%81%d8%b9%d9%8a%d9%84/p742772087	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/%d9%83%d9%88%d8%af-%d8%a7%d9%84%d8%aa%d9%81%d8%b9%d9%8a%d9%84/p742772087.html	(from https://mtrp.store/)
22:55:38	76873/76873	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:36%20GMT	https://mtrp.store/?currency=TND	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index46eb.html	(from https://mtrp.store/)
22:55:38	76973/76973	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:36%20GMT	https://mtrp.store/?currency=DZD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index9c78.html	(from https://mtrp.store/)
22:55:38	76937/76937	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:39%20GMT	https://mtrp.store/?currency=MAD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index9cce.html	(from https://mtrp.store/)
